Country,Summary.of.the.I.NDC,country_code,Type
Ivory coast,An unconditional reduction in emissions of 28% compared to business-as-usual levels by 2030. An additional 8% reduction conditional upon the provision Ivory of international support. Includes sections on adaptation and loss and damage.,CIV,BAU
Cameroon,"A 32% reduction in emissions by 2035 compared to business-as-usual levels, conditional upon international support. Includes section on adaptation.",CMR,BAU
Democratic Republic of the Congo,"A 17% reduction compared to a business-as-usual scenario by 2030, conditional upon receiving an adequate level of international support - estimated to be $12.54bn. Also contains a series of adaptation measures, which it says will cost $9.082bn.",COD,BAU
Congo,"At least a 48% reduction in emissions by 2025 and 55% by 2035, compared to a business-as-usual scenario, conditional upon international support. Includes section on adaptation.",COG,BAU
Cook Islands,"Sets out a series of ambitions that will result in an 81% reduction in emissions by 2030 compared to 2006 levels, conditional upon external support. It also sets out a number of conditional and unconditional actions relating to adaptation.",COK,Emission
Colombia,"A 20-30% reduction in greenhouse gas emissions by 2030, compared to business as usual. The lower end is unconditional whereas the top end of ambition is subject to the provision of international support. Colombia will also consider communicating a target for 2025, depending on the outcome of the Paris talks.",COL,BAU
Comoros,An 84% reduction in emissions based on a business-as-usual scenario by 2030. This is conditional upon receiving adequate levels of international financial support. Also contains adaptation targets.,COM,BAU
Cabo Verde,"Outlines a range of actions designed to reduce emissions, including increasing renewable energy grid penetration, increasing energy efficiency and reforestation programmes. Some actions are conditional on international support, others are unconditional. Includes section on adaptation.",CPV,None
Costa Rica,"Reconfirms its aspiration to become carbon neutral by 2021. In terms of total greenhouse gas emissions, pledges to reduce emissions by 44% by 2030 compared to business-as-usual levels, equivalent to a 25% reduction compared to 2012 levels. Requires international support to implement. Includes section on adaptation.",CRI,Emission/BAU
Cuba,"A series of projects a policies including more than 2 gigawatts of renewable power plants to be implemented by 2030, conditional on international support. Includes section on adaptation.",CUB,None
Djibouti,"An unconditional pledge to reduce emissions by 40% by 2030, compared to a business-as-usual scenario, plus a conditional pledge to reduce emissions by a further 20%. Includes detailed policies on how it would achieve both targets, as well as a section on adaptation.",DJI,BAU
Dominica,"An 18% emissions cut by 2020, compared to 2014 levels, with cuts of 39% by 2025 and 45% by 2030 against the same baseline. Includes section on climate risks and adaptation.",DMA,Emission
Dominican Republic,"A 25% reduction in emissions compared to 2010 levels by 2030, conditional upon favourable and predictable support, climate finance mechanisms and corrections to the failures of existing market mechanisms. Includes a five-year review of target. Includes sections on loss and damage, finance, technology, capacity building and youth, and gender. INDC here.",DOM,Emission
Algeria,"A 7-22% reduction in greenhouse gas emissions by 2030, compared to business as usual. The lower end is unconditional whereas the top end of ambition is dependent on provision of climate finance and access to technology. Link to Algeria's INDC.",DZA,BAU
Ecuador,"Commits to an unconditional 20.4% to 25% reduction in energy sector emissions by 2025, compared to business-as-usual levels, or a conditional 37.5% to 45.8% dependent on international support.",ECU,BAU
Egypt,"To achieve ""high CO2 mitigation levels"" through measures including phasing out energy subsidies within 3-5 years and, potentially, a national carbon market. Also aims to use renewable and nuclear power sources. Requires international support of $73bn. Includes section on adaptation.",EGY,None
Eritrea,"An 80.6% reduction in emissions by 2030, compared to business-as-usual levels. 39.2% of this is unconditional, and can be financed using domestic resources. Includes goal to raise share of renewable energy in electricity generation to 70%. Contains section on adaptation.",ERI,BAU
Ethiopia,"A 64% reduction on business as usual emissions by 2030, equivalent to a 3% reduction against a 2010 baseline.",ETH,Emission/BAU
Fiji,"An unconditional 10% emissions cut by 2030, compared to business as usual levels, or a conditional 30% reduction with international support. Applies to energy emissions only. Also targets 100% renewable electricity by 2030. Includes section on adaptation.",FJI,BAU
Gabon,At least a 50% reduction in greenhouse gases by 2025 compared to a business as usual scenario. This would mean emissions would hit roughly the same levels as they were in 2000. They also include a national adaptation strategy focused on coastal areas.,GAB,Emission/BAU
Georgia,"A 15% reduction in greenhouse gases, excluding land use and forestry, below business as usual levels by the year 2030, which is equal to a 34% reduction in emission intensity per unit of GDP from 2013 to 2030. The 15% will be increased to 25% on the condition of access to low-cost international finance and technology transfer. Includes a section on adaptation.",GEO,Intensity/BAU
Ghana,"A 45% reduction in emissions by 2030, compared to business-as-usual levels. 15% of this is unconditional, and 30% is conditional upon international support. Includes interim goal for 2025, and actions on adaptation.",GHA,BAU
Guinea,"A 13% reduction on emissions by 2030, compared to 1994 levels, excluding land use and forestry, conditional upon international support. Includes section on adaptation.",GIN,Emission
Gambia,"A 44% emissions cut by 2025, compared to business as usual projections, and a 45% cut by 2030. The targets exclude land use and forestry. Two of 12 sectoral mitigation schemes, with associated emissions reduction targets, are unconditional. The rest are conditional on international financial support and technology transfer. Includes section on adaptation.",GMB,BAU
Guinea-Bissau,"As a net sink, further emissions cuts are conditional on support. Aims to boost renewables' share of the energy mix to 80% by 2030 and develop a national reforestation programme by 2025. Section on adaptation includes to increase protected area coverage from 15 to 26%.",GNB,None
Equatorial Guinea,"A 20% reduction in greenhouse gas emissions by 2030, compared to 2010 levels, with a longer-term goal to cut emissions 50% by 2050. These targets will cost $3.7bn during 2015-2030 and another $6.0bn during 2030-2050. The pledge is dependent on favourable climate international climate finance.",GNQ,Emission
Grenada,"A 30% reduction in greenhouse gas emissions by 2025, compared to 2010 levels, with an indicative reduction of 40% by 2030 on 2010 levels. This will cost $161.5m to implement, which is expected to come from international and bilateral funding. Includes section on adaptation.",GRD,Emission
Guatemala,"An unconditional 11.2% emissions cut in 2030, relative to business as usual projections, or a conditional 22.6% reduction. Notes that climate-related loss and damage over the past 16 years totals $3.5bn. Includes section on adaptation.",GTM,BAU
Guyana,"Up to 52 million tonnes of CO2 equivalent of mitigation and a 20% share of total energy from renewables by 2025, conditional on provision of adequate resources. Unconditional elements are not associated with quantified outcomes. The pledge covers CO2 from forestry and energy. Conditional elements and adaptation needs will cost an estimated $4.495bn.",GUY,None
Honduras,"A 15% reduction in emissions by 2030, compared to business-as-usual levels, conditional upon international support. Will also reforest a million hectares of forest by 2030. Includes section on adaptation.",HND,BAU
Haiti,"A 26% reduction in emissions by 2030, relative to business-as-usual levels. Of this, 5% will be achieved unconditionally, while the remainder is subject to international support. Includes section on adaptation.",HTI,BAU
Indonesia,"A 29% reduction in emissions by 2030, compared to business as usual. Indonesia says it will increase its reduction goal to 41%, conditional on support from international cooperation. Includes a section on adaptation.",IDN,BAU
India,"A 33-35% reduction in emissions intensity by 2030, compared to 2005 levels. Also pledges to achieve 40% of cumulative electricity installed capacity from non-fossil fuel based resources by 2030. Will also increase tree cover, creating an additional carbon sink of 2.5 to 3 billion tonnes of CO2 equivalent by 2030. India intends to cover the $2.5 trillion cost of its pledge with both domestic and international funds. Includes information on adaptation.",IND,Intensity
Iran,"A 4% cut in emissions by 2030 relative to business as usual, or a 12% cut conditional on international support of $35bn. Both elements are conditional on an end to sanctions. Includes section on adaptation.",IRN,BAU
Iraq,[INDC only available in Arabic],IRQ,Arabic
Iceland,"Intends to take part in the EU's collective effort to reduce emissions across the region by 40% on 1990 levels by 2030. The precise commitment it will take on as part of this effort sharing approach has yet to be decided; if no agreement is reached, Iceland will submit a new INDC.",ISL,Emission
Israel,"An unconditional target to reduce per capita emissions to 26% below 2005 levels by 2030, with an interim target for 2025. Israel’s population is expected to grow at an annual rate of 1.8% per year. Israel is currently drafting its National Adaptation Plan.",ISR,Emission
Jamaica,"Policies and renewable energy projects in the pipeline will result in a 7.8% reduction in emissions by 2030, compared to a business-as-usual baseline. Will conditionally increase this to 10% conditional on the provision of international support.",JAM,BAU
Jordan,"A 14% reduction in emissions compared to business-as-usual levels by 2030, 1.5% of which is unconditional, and 12.5% is conditional upon international support. The country will need around $5bn to fulfill the conditional side of its pledge. Lists specific projects that will be implemented to hit the target. Includes adaptation actions.",JOR,BAU
Japan,A 26% reduction in emissions on 2013 levels by 2030. Includes precise information on how it will generate its power by 2030.,JPN,Emission
Kazakhstan,"An unconditional 15% reduction in economy-wide emissions by 2030, compared to 1990 levels or a 25% reduction conditional on international support. Emissions are currently around 25% below 1990 levels.",KAZ,Emission
Kenya,A reduction in emissions of 30% by 2030 relative to a business-as-usual scenario of 143 MtCO2e. This is subject to financial and technological international support. Does not rule out use of international market mechanisms. Includes plan for adaptation actions.,KEN,BAU
Kyrgyzstan,"Will reduce emissions by between 11.49% and 13.75% below business-as-usual levels by 2030, with an additional conditional target of between 29% and 30.89% by 2030. Also gives a long-term target of a 12.67% to 15.69% reduction below BAU levels by 2050, or a 35.06% to 36.75% reduction on the condition of international support. Contains section on adaptation.",KGZ,BAU
Cambodia,"A reduction of 27% in emissions below a business-as-usual scenario by 2030, with an additional target to increase forest cover to 60% of national land area by 2030. This is conditional upon international support. Includes section on adaptation.",KHM,BAU
Kiribati,"A conditional 13.7% by 2025 and 12.8% by 2030 reduction, compared to business as usual levels. Includes fossil fuels and marine sequestration. Kiribati offers a more ambitious 61.8% reduction in emissions by 2030 compared to business as usual, conditional on international finance and technical support. Includes specific proposed projects for mitigation and adaptation.",KIR,BAU
Saint Kitts and Nevis,"Pledges a 35% reduction in emissions compared to business-as-usual levels by 2030, with an interim 2025 target of 22%.",KNA,BAU
South Korea,"A 37% reduction on business-as-usual emissions by 2030. Its INDC estimates that Korea's BAU emissions in 2030 will be 850.6 megatonnes of carbon dioxide equivalent. Korea will decide whether or not to incorporate its land use sector, which acts as a net sink, at a later stage. It will partly use carbon credits to achieve its target.",KOR,BAU
Kuwait,"To ""move to a low carbon equivalent economy"" and avoid an increase in emissions above business-as-usual projections, conditional on international support.",KWT,None
Lao PDR,"Commits to a number of policies and actions designed to reduce emissions, which it will need financial support to implement. Includes section on adaptation.",LAO,None
Lebanon,"An unconditional 15% emissions cut in 2030, compared to business as usual, or a conditional 30% reduction. Aims for 15% of power and heat energy to be renewable in 2030, or 20% with international support. Includes section on adaptation.",LBN,BAU
Liberia,"A reduction in emissions of 15% below a business-as-usual scenario by 2030, and a long-term goal of carbon neutrality by 2050. Includes section on adaptation. Implementation depends on the provision of international support.",LBR,BAU
Libya,INDC not yet submitted,LBY,Not
Saint Lucia,"Commits to a 23% reduction in emissions by 2030 compared to a business-as-usual scenario, equating to emissions reductions of 188GgCO2e, with an interim target of a 16% reduction by 2023. This is conditional upon international support. Includes section on adaptation.",LCA,BAU
Liechtenstein,"A 40% reduction on 1990 levels by 2030. This includes the possibility to achieve emissions reductions abroad, but with the primary focus on domestic emissions.",LIE,Intensity
Sri Lanka,"An unconditional 7% emissions cut in 2030 compared to business as usual projections, or a 23% cut conditional on international support. Includes sections on adaptation, loss and damage.",LKA,BAU
Lesotho,"An unconditional 10% reduction in emissions compared to a business-as-usual scenario by 2030, or a conditional reduction of 35% by 2030, dependent on international support. Includes section on adaptation, which also requires international support.",LSO,BAU
Morocco,"An unconditional 13% reduction on business as usual emissions by 2030, with a conditional 32% reduction if Morocco receives new sources of finance and enhanced support.",MAR,BAU
Monaco,"A 50% reduction in greenhouse gas emissions by 2030 on 1990 levels, without the use of carbon credits if possible, but without ruling them out. Includes a section on adaptation.",MCO,Emission
Moldova,"A 64-67% emissions cut by 2030, compared to 1990 levels, with best efforts to reach 67%. Emissions in 2013 were 64% below 1990 levels. The INDC offers a higher 78% emissions cut by 2030, conditional on low-cost financial resources as part of a global deal. Includes land use and forestry emissions.",MDA,Emission
Madagascar,"A 14% reduction in emissions by 2030, based on a business-as-usual scenario - or a 32% reduction, if the land use sector is included. Conditional upon international finance. Includes section on adaptation.",MDG,BAU
Maldives,"An unconditional 10% reduction in energy sector emissions by 2030, compared to business as usual, or a 24% reduction conditional on international support. Business as usual 2030 emissions are projected to be triple those in 2010. Contains section on adaptation.",MDV,BAU
Mexico,"Unconditional 25% reduction in greenhouse gases and short lived climate pollutants from a business-as-usual scenario by 2030, which would rise to 40% subject to the outcome of a global climate deal. For the unconditional pledge, this means peaking net emissions by 2026 and reducing emissions intensity per unit of GDP by around 40% from 2013 to 2030.",MEX,Intensity
Marshall Islands,"A 32% reduction in emissions below 2010 levels by 2025, with a further indicative target to reduce emissions by 45% below 2010 levels by 2030, with a view to achieving net zero GHG emissions by 2050, or earlier if possible. The Marshall Islands could increase its target when it is reviewed in five years' time. There are no conditions attached to the submission, but it says that many of its proposed actions will depend on the availability of international support. Includes section on adaption.",MHL,Emission
Macedonia,"A 30 or 36% reduction in energy-related carbon dioxide emissions by 2030, compared to business as usual. These targets are equivalent to increases against a 1990 baseline of 20 or 31%. Macedonia will consider the use of carbon markets.",MKD,None
Mali,"Commits to reducing emissions by 29% for agriculture, 31% for energy and 21% for forests and land use, each by 2030 and in comparison to a business-as-usual scenario. This is an average reduction of 27%. This is conditional upon international support, although around 40% of this can be met unconditionally. Includes a section on adaptation, though only for the period 2015-2020.",MLI,BAU
Myanmar,"Presents a series of sectoral goals including to increase hydropower capacity to 9.4 gigawatts by 2030, to achieve rural electrification based on at least 30% renewable sources and to increase the forested area to 30% by 2030. Efforts to calculate and present a reliable estimate of current emissions are part of the pledge. Includes section on adaptation.",MMR,None
Montenegro,A 30% reduction in emissions by 2030 compared to 1990 levels. Intends to sell carbon credits. Reserves the right to review its pledge should more accurate data become available about its land use emissions.,MNE,Emission
Mongolia,"Outlines a series of policies and measures expected to reduce emissions by 14% by 2030, compared to business as usual levels. In the future, will outline further actions to reduce emissions from deforestation by a further 5% by 2030. Conditional upon international funding. Contains adaptation actions.",MNG,BAU
Mozambique,A 23 million tonnes of CO2 equivalent cut in emissions from 2020-2024 and 53.4MtCO2e from 2025-2030. Baseline not specified. The pledge is conditional on international support. Includes section on adaptation.,MOZ,None
Mauritania,"A 22.3% reduction in emissions from business-as-usual levels by 2030. 88% of this pledge is conditional upon international support, and 12% is unconditional. This will avoid 33.56 million tonnes of carbon dioxide. Contains information on adaptation.",MRT,BAU
Mauritius,"A 30% emissions cut by 2030, compared to business as usual emissions of 7 million tonnes of CO2 equivalent. The target, equivalent to a 4% cut on 2014 emissions, is conditional on international support. Covers all major sectors of the economy. Includes section on adaptation.",MUS,Emission/BAU
Malawi,"Lists a series of actions, conditional and unconditional, that would reduce emissions per capita down to 0.7-0.8 tCO2e by 2030, compared to a business-as-usual scenario of 1.5 tCO2 per capita (a reduction of approximately 47%). Does this for both adaptation and mitigation.",MWI,BAU
Malaysia,"Malaysia intends to reduce its greenhouse gas (GHG) emissions intensity of GDP by 45% by 2030 relative to the emissions intensity of GDP in 2005. This consist of 35% on an unconditional basis and a further 10% is condition upon receipt of climate finance, technology transfer and capacity building from developed countries.",MYS,Intensity
Namibia,"An unconditional 8.9% emissions cut in 2030, compared to business as usual, or an 89% cut with international support. Most of the reduction would be achieved by reducing projected deforestation rates by 75%. Aims to increase share of renewables in electricity from 33 to 70%. Total estimated cost of $33bn. Includes section on adaptation.",NAM,BAU
Niger,"An unconditional 3.5% reduction in emissions by 2030, compared to a business-as-usual scenario, or a 34.6% reduction by 2030 on the condition of international support. Contains section on adaptation.",NER,BAU
Nigeria,"An unconditional 20% reduction in emissions by 2030, compared to business-as-usual levels. This could increase to 45%, conditional on international support. Includes plans to end gas flaring and install 13 gigawatts of off-grid solar, as well as improving energy efficiency 30% by 2030. Includes section on adaptation.",NGA,Intensity
Nicaragua,INDC not yet submitted,NIC,Not
Niue,"Commits to increase the share of renewables in its electricity generation to 38% by 2020, up from 2% in 2014. This will be partly delivered through a 10% reduction in electricity demand. Niue says it could increase this to 80%, or even higher, by 2025 on the condition of international support. Calls for loss and damage to be included as a separate element of the UN deal.",NIU,None
Norway,"At least a 40% reduction in greenhouse gases by 2030 compared to 1990 levels, including use of EU carbon credits.",NOR,Emission
Nepal,"By 2050, to reduce fossil fuel dependency by 50%. Includes sectoral targets such as increasing hydro capacity to 12 gigawatts and solar to 2GW by 2030. Requires financial support.",NPL,None
Nauru,A conditional commitment to spend $50m on a solar power system and demand management to reduce emissions. An additional unconditional commitment to spent $5m on a smaller 0.6MW solar system. Also includes sections on adaptation and loss and damage.,NRU,None
New Zealand,"A 30% reduction by 2030 on 2005 levels, which translates to an 11% reduction on 1990 levels. New Zealand says its INDC is conditional upon confirmation of accounting rules in Paris that will allow it unrestricted access to global carbon markets.",NZL,Emission
Oman,"An unconditional 2% emissions cut in 2030, relative to business as usual levels. This will be achieve through an unquantified ""increase"" in renewables and ""reduction"" in gas flaring. Will develop climate legislation. Includes short section on adaptation. Additional efforts would require international support.",OMN,BAU
Pakistan,"Commits to peak and then reduce its emissions. Specific commitments will be made once ""reliable data on our peak emissions levels is available"". Includes paragraph on adaptation.",PAK,None
Panama,"An unconditional pledge to increase the share of renewables in the electricity mix to 15% by 2030 and 30% by 2050, from around 7% in 2010. An 80% increase in carbon storage in the land use and forestry sector, compared to business-as-usual projections and conditional on international support.",PAN,None
Peru,"An unconditional 20% reduction in emissions by 2030, compared to business as usual. A 30% reduction is offered conditional on international funding. This would equate to a 22% increase compared to 2010 emissions. Includes section on adaptation. Also sets out Peru's position on the Paris agreement.",PER,Emission/BAU
Philippines,"A reduction in emissions of about 70% by 2030, relative to a business-as-usual scenario, on the condition of international support. Includes sections on adaptation and loss and damage.",PHL,BAU
Palau,"Pledges to reduce energy sector emissions by 22% below 2005 levels by 2025, and has a renewable energy target of 45% and an energy efficiency target of 35% by 2025. If implemented, these would reduce emissions by 22% by 2025 on 2005 levels.",PLW,Emission
Papua New Guinea,"A shift to 100% renewable energy by 2030, conditional on international support. Largest potential contribution to mitigation would be through reduced deforestation. Includes section on adaptation.",PNG,None
Paraguay,"An unconditional 10% emissions cut by 2030, compared to business as usual projections, or a 20% cut conditional on international support. The higher ambition would represent a 60% increase on 2011 emissions. Includes section on adaptation.",PRY,BAU
Qatar,"Focuses on actions that will bring about economic diversification that will also bring down emissions, though does not set a reduction target.",QAT,None
Russia,25-30% domestic reduction in greenhouse gases by 2030 compared to 1990 levels. The Russian pledge includes maximum possible account of the land sector. Carbon Brief has looked at the details.,RUS,Emission
Rwanda,"To deviate emissions from the business as usual path by 2030, conditional on international support. Preliminary pledge will be elaborated and re-submitted before Paris. Includes section on adaptation.",RWA,None
Saudi Arabia,"An ""ambitious"" programme of renewable energy investment and ""economic diversification"", along with energy efficiency and carbon capture and storage. Expects emissions savings of up to 130 million tonnes of CO2 equivalent in 2030, relative to business as usual. Includes section on adaptation.",SAU,None
Sudan,To reach 20% renewable share in the power mix by 2030. Includes detailed per-technology aims and targets for energy efficiency. Aims to raise forest area to 25% of Sudan by 2030. Includes section on adaptation. Pledge conditional on international support.,SDN,None
Senegal,"An unconditional reduction in emissions of 5% by 2030, compared to business-as-usual levels, with interim targets of 3% by 2020 and 5% by 2025. Accompanied by a conditional target, subject to international financial support, of 7% by 2020, 15% by 2025 and 21% by 2030, compared to business-as-usual levels. Contains section on adaptation, as well as information on potential obstacles.",SEN,BAU
Singapore,"A 36% reduction in emission intensity by 2030, compared to 2005 levels, with emissions peaking around 2030. Singapore intends to achieve this without international market mechanisms, though will continue to study their potential. Contains information on adaptation activities.",SGP,Intensity
Sierra Leone,"Pledges to keep emissions “relatively low” (close to 7.58MtCO2e) by 2035, or achieve neutrality by 2050, conditional upon international support. Also presents an intensity based reduction target of 25% and 35%, to be achieved in 2020-2030 and 2030-2050 respectively, compared to 1990 levels. Includes sections on adaptation and loss and damage.",SLE,Intensity
El Salvador,"Pledges a series of actions, including to develop plans to limit emissions from land use sector by 2016 and its power sector by 2017.",SLV,None
San Marino,"A 20% reduction in emissions by 2030, compared to 2005 levels. Intend to achieve this domestically, though will use market mechanisms if necessary.",SMR,Emission
Somalia,"Outlines a number of projects relating to adaptation and mitigation, aimed at sustainable land management, water resource management, reducing risk from natural disasters, and sustainable charcoal production.",SOM,None
Serbia,"A 9.8% reduction on 1990 levels by 2030. Serbia has also included a section on loss and damage - extreme climate and weather conditions have cost the country €5bn since 2000. Adaptation measures implemented between 2000 and 2015 have cost around $68m, it adds.",SRB,Emission
South Sudan,"Plans to increase use of clean and carbon-neutral energy, deploying them ""whenever possible"". Also aims to plant 20 million trees. Is developing a national adaptation plan. Conditional on international support, with estimated needs of $50bn to 2030.",SSD,None
Sao Tome and Principe,"Lists a series of actions that it will take to reduce emissions below business as usual levels, conditional upon international support, though does not set a number of the level of reductions. Also requires support for adaptation.",STP,None
Suriname,"To introduce and distribute renewable energy to coastal and interior villages that rely on fossil fuels. Up-front costs will require international support but will reduce annual energy costs. To conserve forest resources and, by 2020, to fully protect mangroves. Includes section on adaptation.",SUR,None
Swaziland,"Aims to double the renewable share of its energy mix by 2030, compared to 2010 levels. Also pledges to develop a national emissions inventory, baseline and business as usual projections, in order to draw up a national mitigation goal by 2020. Aims to develop a national adaptation plan by 2020.",SWZ,None
Seychelles,"A 29% reduction in greenhouse gases by 2030, compared to 2010-12 levels, which is conditional on international climate finance. Includes a section on adaptation.",SYC,Emission
Syria,INDC not yet submitted,SYR,Not
Chad,"Unconditional pledge to reduce emissions by 18.2% by 2030, compared to a business-as-usual scenario, or a 71% reduction by 2030, conditional upon international support. Includes section on adaptation, including priority areas of the country.",TCD,BAU
Togo,"An unconditional reduction of 11.14% by 2030, compared to 2010 levels, rising to 31.14% on the condition of international support. Includes section on adaptation.",TGO,Emission
Thailand,"An unconditional 20% reduction in emissions by 2030, compared to business-as-usual levels. This could increase to 25%, conditional upon the provision of international support. Includes section on adaptation.",THA,BAU
Tajikistan,"Pledges to not exceed 80-90% of 1990 levels by 2030 as an unconditional target, accompanied by a conditional target to not exceed 65-75% of 1990 levels subject to international funding. Also includes conditional and unconditional sections on adaptation.",TJK,Emission
Turkmenistan,"With “certain international support”, pledges to achieve zero growth in emissions, or even reduce emissions, by 2030. Aims to achieve this “primarily” through domestic resources. Includes section on adaptation.",TKM,Emission
Timor-Leste,"Sets out a series of mitigation options, including use of renewables to electrify rural areas and energy efficiency to reduce fossil fuel use for cookstoves. Requires international support.",TLS,None
